Identifier	MapMan	MapManDescription	Localization	GO	GODescription	Synonym
Cre01.g021251	GMM:13.1.2.3.23;GMM:13.1.2.3	amino acid metabolism.synthesis.glutamate family.arginine.argininosuccinate lyase;amino acid metabolism.synthesis.glutamate family.arginine	Chloroplast	GO:0042450;GO:0004056	arginine biosynthetic process via ornithine;argininosuccinate lyase activity	ARG7
Cre01.g048950	GMM:23.1.1.5	nucleotide metabolism.synthesis.pyrimidine.uridine 5'-monophosphate synthase	Chloroplast	GO:0009116;GO:0006207;GO:0004590	nucleoside metabolic process;'de novo' pyrimidine nucleobase biosynthetic process;orotidine-5'-phosphate decarboxylase activity	PYR5
Cre01.g032600			Secretory pathway			HPAT1
Cre01.g010050						
Cre01.g034350	GMM:27.3.25	RNA.regulation of transcription.MYB domain transcription factor family				
Cre01.g000100	GMM:34.12	transport.metal				
Cre01.g010300						
Cre01.g050650						
Cre01.g028250	GMM:11.9.2.2	lipid metabolism.lipid degradation.lipases.acylglycerol lipase				GEA1
Cre01.g028500						
Cre01.g056696			Mitochondrion			
Cre01.g031875						
Cre01.g042502	GMM:29.4.1	protein.postranslational modification.kinase		GO:0016020;GO:0006508;GO:0005044;GO:0004252	membrane;proteolysis;scavenger receptor activity;serine-type endopeptidase activity	SRR11
Cre01.g007000	GMM:34.16	transport.ABC transporters and multidrug resistance systems		GO:0016887;GO:0016020;GO:0005524	ATPase activity;membrane;ATP binding	
Cre01.g069107						COX191
Cre01.g022050						
Cre01.g016600	GMM:20.2.5;GMM:1.1.1.2	stress.abiotic.light;PS.lightreaction.photosystem II.PSII polypeptide subunits	Chloroplast			PSBS1
Cre01.g016250			Secretory pathway	GO:0016021;GO:0006952	integral component of membrane;defense response	MLO3
Cre01.g009650	GMM:33.99;GMM:27.3.3	"development.unspecified;RNA.regulation of transcription.AP2/EREBP, APETALA2/ethylene-responsive element binding protein family"	Mitochondrion	GO:0007275;GO:0006355;GO:0003700	"multicellular organismal development;regulation of transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding"	BUG25
Cre01.g038950			Secretory pathway			
Cre01.g042200			Chloroplast			
Cre01.g030986						
Cre01.g018050			Chloroplast			
Cre01.g043600			Chloroplast			
Cre01.g027900	GMM:17.1.1	hormone metabolism.abscisic acid.synthesis-degradation				
Cre01.g014800	GMM:28.2	DNA.repair	Chloroplast	GO:0045910;GO:0030983;GO:0016887;GO:0006298;GO:0005524;GO:0004519	negative regulation of DNA recombination;mismatched DNA binding;ATPase activity;mismatch repair;ATP binding;endonuclease activity	MSH7
Cre01.g050550			Chloroplast	GO:0051537;GO:0043231	"2 iron, 2 sulfur cluster binding;intracellular membrane-bounded organelle"	
Cre01.g040550						
Cre01.g039650	GMM:26.1	misc.misc2		GO:0042586;GO:0005506	peptide deformylase activity;iron ion binding	PDF1C
Cre01.g055404						
Cre01.g051211	GMM:34.99;GMM:34.16	transport.misc;transport.ABC transporters and multidrug resistance systems	Mitochondrion	GO:0055085;GO:0016020;GO:0015297;GO:0015238;GO:0006855	transmembrane transport;membrane;antiporter activity;drug transmembrane transporter activity;drug transmembrane transport	
Cre01.g040350	GMM:28.2	DNA.repair	Chloroplast	GO:0045910;GO:0030983;GO:0016887;GO:0006298;GO:0005524;GO:0004519	negative regulation of DNA recombination;mismatched DNA binding;ATPase activity;mismatch repair;ATP binding;endonuclease activity	MSH8
Cre01.g022200			Secretory pathway			
Cre01.g051950	GMM:29.5.4;GMM:27.3.99	protein.degradation.aspartate protease;RNA.regulation of transcription.unclassified		GO:0006508;GO:0004190	proteolysis;aspartic-type endopeptidase activity	ASP2
Cre01.g049000			Chloroplast	GO:0008124;GO:0006729	4-alpha-hydroxytetrahydrobiopterin dehydratase activity;tetrahydrobiopterin biosynthetic process	CGL31
Cre01.g015500	GMM:3.3	minor CHO metabolism.sugar alcohols		GO:0005515	protein binding	CGL91
Cre01.g013300	GMM:29.5.5	protein.degradation.serine protease	Mitochondrion	GO:0005515	protein binding	DEG10
Cre01.g038800	GMM:34.19	transport.major intrinsic proteins		GO:0016020;GO:0006810;GO:0005215	membrane;transport;transporter activity	MIP3
Cre01.g036050	GMM:28.2	DNA.repair	Mitochondrion	GO:0030983;GO:0006298;GO:0005524	mismatched DNA binding;mismatch repair;ATP binding	MLH1
Cre01.g043800						
Cre01.g004157	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins	Chloroplast			
Cre01.g033300	GMM:20.2.3	stress.abiotic.drought/salt	Secretory pathway			
Cre01.g021950	GMM:31.6.1.4.2.1	cell.motility.eukaryotes.axonemal dyneins.inner arm.monomeric species	Mitochondrion	GO:0007018;GO:0003777	microtubule-based movement;microtubule motor activity	
Cre01.g003541						
Cre01.g009050						
Cre01.g062172	GMM:28.1.3.2.2;GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2B;DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone		GO:0003677;GO:0000786	DNA binding;nucleosome	HBV1
Cre01.g059982			Mitochondrion			
Cre01.g015103	GMM:3.3	minor CHO metabolism.sugar alcohols	Secretory pathway	GO:0035556;GO:0016849;GO:0009190	intracellular signal transduction;phosphorus-oxygen lyase activity;cyclic nucleotide biosynthetic process	
Cre01.g018700						
Cre01.g012050	GMM:34.4;GMM:1.5.3	transport.nitrate;PS.carbon concentrating mechanism.algal	Mitochondrion	GO:0016020;GO:0006810;GO:0005215	membrane;transport;transporter activity	NAR1.6
Cre01.g052150	GMM:31.1	cell.organisation				FAP87
Cre01.g010750	GMM:9.7;GMM:27.3.44	mitochondrial electron transport / ATP synthesis.cytochrome c oxidase;RNA.regulation of transcription.chromatin remodeling factors				
Cre01.g030000			Secretory pathway			
Cre01.g040950				GO:0006468;GO:0005524;GO:0004674	protein phosphorylation;ATP binding;protein serine/threonine kinase activity	
Cre01.g002150			Chloroplast			
Cre01.g045902	GMM:29.8	protein.assembly and cofactor ligation	Chloroplast			
Cre01.g000750			Secretory pathway			
Cre01.g024850	GMM:26.23	misc.rhodanese				RDP2
Cre01.g066187	GMM:34.12	transport.metal	Secretory pathway	GO:0055085;GO:0046873;GO:0030001;GO:0016020	transmembrane transport;metal ion transmembrane transporter activity;metal ion transport;membrane	ZRT4
Cre01.g015200	GMM:30.1.1	signalling.in sugar and nutrient physiology.misc		GO:0007165;GO:0004114	"signal transduction;3',5'-cyclic-nucleotide phosphodiesterase activity"	PDE4
Cre01.g048100						
Cre01.g009450	GMM:29.9	protein.co-chaperones	Cytosol			DNJ22
Cre01.g038700	GMM:34.18	transport.unspecified anions	Mitochondrion	GO:0055085;GO:0016020;GO:0006821;GO:0005247	transmembrane transport;membrane;chloride transport;voltage-gated chloride channel activity	CLV5
Cre01.g026200	GMM:3.8.2	minor CHO metabolism.galactose.alpha-galactosidases	Mitochondrion			PPR9
Cre01.g012150	GMM:29.4	protein.postranslational modification	Mitochondrion	GO:0055114;GO:0030091;GO:0016671;GO:0008113;GO:0006979;GO:0006457	"oxidation-reduction process;protein repair;oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor;peptide-methionine (S)-S-oxide reductase activity;response to oxidative stress;protein folding"	MSRA4
Cre01.g041667			Mitochondrion;Chloroplast			
Cre01.g028200	GMM:27.1.2;GMM:27.1;GMM:17.5.3	RNA.processing.RNA helicase;RNA.processing;hormone metabolism.ethylene.induced-regulated-responsive-activated		GO:0005524;GO:0003676	ATP binding;nucleic acid binding	HEL6
Cre01.g006656			Chloroplast			
Cre01.g004700			Secretory pathway	GO:0016021	integral component of membrane	
Cre01.g037100	GMM:30.1;GMM:29.4;GMM:29.2.2	signalling.in sugar and nutrient physiology;protein.postranslational modification;protein.synthesis.ribosome biogenesis		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre01.g002203			Secretory pathway			
Cre01.g044276			Secretory pathway			
Cre01.g016542			Chloroplast			
Cre01.g032000						
Cre01.g012200	GMM:33.99;GMM:33.3;GMM:27.3.28	development.unspecified;development.squamosa promoter binding like (SPL);RNA.regulation of transcription.squamosa promoter binding protein family (SBP)		GO:0005634;GO:0005515;GO:0003677	nucleus;protein binding;DNA binding	
Cre01.g012500	GMM:31.4;GMM:30.5;GMM:3.5	cell.vesicle transport;signalling.G-proteins;minor CHO metabolism.others				PRA1
Cre01.g037450	GMM:31.3.1	cell.cycle.peptidylprolyl isomerase	Secretory pathway			
Cre01.g037476			Chloroplast			
Cre01.g016150						
Cre01.g038200			Mitochondrion			
Cre01.g011950			Chloroplast			
Cre01.g000950			Secretory pathway	GO:0055085;GO:0016021	transmembrane transport;integral component of membrane	MFT13
Cre01.g010848			Chloroplast			
Cre01.g053050			Mitochondrion			
Cre01.g055200						CPL7
Cre01.g007737	GMM:34.99	transport.misc	Chloroplast	GO:0016021;GO:0006810	integral component of membrane;transport	FBT1
Cre01.g045650			Mitochondrion			ZNJ3
Cre01.g029050				GO:0005515	protein binding	
Cre01.g054000	GMM:27.4	RNA.RNA binding		GO:0003676	nucleic acid binding	
Cre01.g040300			Mitochondrion	GO:0008171	O-methyltransferase activity	
Cre01.g054850			Chloroplast			
Cre01.g005750			Secretory pathway			
Cre01.g019150	GMM:31.1.1.2;GMM:31.1	cell.organisation.cytoskeleton.mikrotubuli;cell.organisation		GO:0005815;GO:0000922;GO:0000226	microtubule organizing center;spindle pole;microtubule cytoskeleton organization	GCP4
Cre01.g006352						
Cre01.g027250						
Cre01.g034250			Secretory pathway			
Cre01.g054900						
Cre01.g022500	GMM:8.2.10	TCA / organic transformation.other organic acid transformations.malic	Mitochondrion	GO:0055114;GO:0051287;GO:0004471	oxidation-reduction process;NAD binding;malate dehydrogenase (decarboxylating) (NAD+) activity	MME5
Cre01.g007850	GMM:1.1.99.1	PS.lightreaction.unspecified.TEF	Mitochondrion			TEF29
Cre01.g024500				GO:0044782;GO:0036064;GO:0005813	cilium organization;ciliary basal body;centrosome	
Cre01.g036700	GMM:30.3;GMM:29.4.1;GMM:29.4;GMM:29.2.2	signalling.calcium;protein.postranslational modification.kinase;protein.postranslational modification;protein.synthesis.ribosome biogenesis		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre01.g042402						
Cre01.g023300				GO:0016491	oxidoreductase activity	
Cre01.g058521			Secretory pathway			ALG11
Cre01.g047450	GMM:29.5.3	protein.degradation.cysteine protease				CPLD17
Cre01.g003150			Mitochondrion			
Cre01.g055424			Secretory pathway			PIGP
Cre01.g009575	GMM:33.99;GMM:27.3.3	"development.unspecified;RNA.regulation of transcription.AP2/EREBP, APETALA2/ethylene-responsive element binding protein family"	Mitochondrion	GO:0007275;GO:0006355;GO:0003700	"multicellular organismal development;regulation of transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding"	
Cre01.g036600	GMM:28.99	DNA.unspecified				EXN3
Cre01.g041800			Secretory pathway	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre01.g012400			Secretory pathway	GO:0016021;GO:0016020	integral component of membrane;membrane	
Cre01.g035700						
Cre01.g019250	GMM:21.2.1.1	redox.ascorbate and glutathione.ascorbate.GME				GME
Cre01.g010450			Secretory pathway	GO:0005515	protein binding	
Cre01.g029650	GMM:29.3.4.3	protein.targeting.secretory pathway.vacuole		GO:0042147;GO:0030904;GO:0015031;GO:0008565	"retrograde transport, endosome to Golgi;retromer complex;protein transport;protein transporter activity"	VPS35
Cre01.g033750			Chloroplast			
Cre01.g053800			Chloroplast			
Cre01.g037000	GMM:29.5.5;GMM:29.5	protein.degradation.serine protease;protein.degradation	Mitochondrion	GO:0006508;GO:0004185	proteolysis;serine-type carboxypeptidase activity	
Cre01.g026100				GO:0008033;GO:0004540	tRNA processing;ribonuclease activity	RPP14
Cre01.g033763			Chloroplast	GO:0008152;GO:0003824	metabolic process;catalytic activity	
Cre01.g063267						BLP1
Cre01.g020223	GMM:8.1.8	TCA / organic transformation.TCA.fumarase		GO:0016829;GO:0006099	lyase activity;tricarboxylic acid cycle	FUM2
Cre01.g012850	GMM:34.15	transport.potassium	Mitochondrion	GO:0055085;GO:0016020;GO:0006811;GO:0005216	transmembrane transport;membrane;ion transport;ion channel activity	KCN8
Cre01.g044900			Mitochondrion			
Cre01.g048300						
Cre01.g031800			Secretory pathway			
Cre01.g054250	GMM:26.10;GMM:26.1;GMM:25.4;GMM:17.2.2	misc.cytochrome P450;misc.misc2;C1-metabolism.5-formyltetrahydrofolate cyclo-ligase;hormone metabolism.auxin.signal transduction	Secretory pathway	GO:0055114;GO:0020037;GO:0016705;GO:0005506	"oxidation-reduction process;heme binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;iron ion binding"	CYP743A1
Cre01.g003751			Mitochondrion	GO:0055085;GO:0016020;GO:0006811;GO:0005216	transmembrane transport;membrane;ion transport;ion channel activity	
Cre01.g039400						
Cre01.g010250	GMM:29.4;GMM:26.13	protein.postranslational modification;misc.acid and other phosphatases	Chloroplast	GO:0003824	catalytic activity	
Cre01.g035000				GO:0005515	protein binding	
Cre01.g001700	GMM:29.4	protein.postranslational modification	Mitochondrion	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre01.g027650			Mitochondrion			
Cre01.g006900						
Cre01.g052400	GMM:1.1.3	PS.lightreaction.cytochrome b6/f	Chloroplast	GO:0016020	membrane	CCB3
Cre01.g043350	GMM:19.16	tetrapyrrole synthesis.chlorophyll b synthase	Chloroplast	GO:0055114;GO:0051537;GO:0016491;GO:0010277	"oxidation-reduction process;2 iron, 2 sulfur cluster binding;oxidoreductase activity;chlorophyllide a oxygenase [overall] activity"	CAO1
Cre01.g052050	GMM:9.5;GMM:29.3.99	mitochondrial electron transport / ATP synthesis.cytochrome c reductase;protein.targeting.unknown	Mitochondrion			UQCC1
Cre01.g021850	GMM:28.99	DNA.unspecified	Chloroplast	GO:0005524;GO:0003676	ATP binding;nucleic acid binding	HEL2
Cre01.g004500	GMM:16.5.1.1.1.3;GMM:13.1.4.4.3	secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.methylthioalkylmalate isomerase large subunit (MAM-IL);amino acid metabolism.synthesis.branched chain group.leucine specific.3-isopropylmalate dehydrogenase	Chloroplast	GO:0008152	metabolic process	LEU1
Cre01.g014450						
Cre01.g005300				GO:0006865	amino acid transport	
Cre01.g018150						
Cre01.g003250	GMM:3.3	minor CHO metabolism.sugar alcohols	Mitochondrion			CSB1
Cre01.g039200	GMM:31.6.1.3.2.2	cell.motility.eukaryotes.intraflagellar transport.IFT particle protein.complex B		GO:0007264;GO:0005525	small GTPase mediated signal transduction;GTP binding	IFT22
Cre01.g014050	GMM:27.3.99;GMM:27.3.12	RNA.regulation of transcription.unclassified;RNA.regulation of transcription.C3H zinc finger family				
Cre01.g072027						
Cre01.g036950			Chloroplast	GO:0051073;GO:0009236;GO:0008818	adenosylcobinamide-GDP ribazoletransferase activity;cobalamin biosynthetic process;cobalamin 5'-phosphate synthase activity	CBA1
Cre01.g008891			Chloroplast			
Cre01.g053350			Mitochondrion			
Cre01.g023000	GMM:34.7	transport.phosphate	Chloroplast			PHT1
Cre01.g050850	GMM:29.5.11.4.3.2;GMM:29.4	protein.degradation.ubiquitin.E3.SCF.FBOX;protein.postranslational modification		GO:0016787	hydrolase activity	PKL1
Cre01.g011376						
Cre01.g017350						
Cre01.g048750			Chloroplast			PPR7
Cre01.g044750			Secretory pathway			
Cre01.g002451	GMM:35.1.19	not assigned.no ontology.C2 domain-containing protein	Mitochondrion	GO:0005515	protein binding	
Cre01.g001300	GMM:31.6.1.11	cell.motility.eukaryotes.other	Secretory pathway			
Cre01.g040250	GMM:29.9	protein.co-chaperones	Cytosol			DNJ9
Cre01.g024150			Mitochondrion			
Cre01.g034700			Secretory pathway			
Cre01.g048650	GMM:30.3;GMM:3.3;GMM:29.4.1;GMM:29.4	signalling.calcium;minor CHO metabolism.sugar alcohols;protein.postranslational modification.kinase;protein.postranslational modification	Mitochondrion	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre01.g024601			Mitochondrion			
Cre01.g042300	GMM:29.4.1	protein.postranslational modification.kinase	Chloroplast	GO:0016020;GO:0005044	membrane;scavenger receptor activity	SRR6
Cre01.g051450			Chloroplast	GO:0005515	protein binding	
Cre01.g021000			Secretory pathway	GO:0031083	BLOC-1 complex	
Cre01.g015350	GMM:19.14	tetrapyrrole synthesis.protochlorophyllide reductase	Chloroplast	GO:0016491;GO:0008152	oxidoreductase activity;metabolic process	POR1
Cre01.g010950				GO:0005515	protein binding	
Cre01.g037200			Chloroplast			
Cre01.g052250	GMM:21.1	redox.thioredoxin	Chloroplast	GO:0045454;GO:0015035;GO:0006662	cell redox homeostasis;protein disulfide oxidoreductase activity;glycerol ether metabolic process	TRXx
Cre01.g049400						
Cre01.g028850	GMM:26.23	misc.rhodanese	Secretory pathway			
Cre01.g030350			Secretory pathway			CGL41
Cre01.g005543						
Cre01.g042750	GMM:8.1.3	TCA / organic transformation.TCA.aconitase	Chloroplast	GO:0008152	metabolic process	ACH1
Cre01.g041855	GMM:29.5.7;GMM:29.5	protein.degradation.metalloprotease;protein.degradation	Chloroplast			
Cre01.g028350	GMM:29.5.5	protein.degradation.serine protease	Chloroplast	GO:0005515	protein binding	DEG8
Cre01.g010000	GMM:30.6;GMM:3.6;GMM:29.4	signalling.MAP kinases;minor CHO metabolism.callose;protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	MAPK8
Cre01.g050050	GMM:31.1	cell.organisation				GUM1
Cre01.g043000	GMM:29.2.2.3.3	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.methylotransferases	Mitochondrion	GO:0051536;GO:0008173;GO:0006364;GO:0005737;GO:0003824	iron-sulfur cluster binding;RNA methyltransferase activity;rRNA processing;cytoplasm;catalytic activity	
Cre01.g067282						
Cre01.g011100	GMM:17.3.1.2.99;GMM:16.1.5;GMM:11.8.6	"hormone metabolism.brassinosteroid.synthesis-degradation.sterols.other;secondary metabolism.isoprenoids.terpenoids;lipid metabolism.exotics (steroids, squalene etc).cycloartenol synthase"		GO:0003824	catalytic activity	CAS1
Cre01.g038450			Chloroplast			
Cre01.g071297						
Cre01.g051350			Chloroplast			
